This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 10/5/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
781.53,+6.31,"30,483,341",796.50,806.9699,776.12

8 OCT 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0011,-.11,.18,1125 / 1150,22.80,27.15,-.0008,,
,,.0014,-.09,.19,1150 / 1175,22.85,27.10,-.0008,,
,,-.0003,-.14,.11,1175 / 1200,22.90,27.10,.00,,
,,.0003,-.10,.12,1200 / 1225,22.90,27.10,.00,,
,,.0002,-.07,.08,1225 / 1250,21.35,29.35,.0072,,
,,.0001,-.05,.05,1250 / 1275,20.60,28.65,-.0080,,
,,.0006,-.05,.10,1275 / 1300,21.30,29.45,.0075,,
,,.0001,-.08,.08,1300 / 1325,20.55,28.75,-.0069,,
,,.00,-.07,.07,1325 / 1350,21.25,29.40,.0061,,
,,.0005,-.03,.07,1350 / 1375,20.60,28.75,-.0061,,
,,-.0001,-.03,.02,1375 / 1400,22.80,27.20,.00,,
,,.0003,-.02,.04,1400 / 1425,22.75,27.20,-.0006,,
,,.0001,-.03,.04,1425 / 1450,21.30,29.50,.0069,,

29 OCT 21  (25)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
