Event,Category,Name,Gender,Weight,Age,Country,Record,Season,Source
21097,70-79,Martine Mallet,F,Lwt,71,FRA,34:16.4,2021,PM Verification Code
21097,70-79,Eileen Ryan,F,Hwt,70,USA,35:33.6,2021,PM Verification Code
21097,80-89,Peter Daniels,M,Lwt,80,GBR,33:50.8,2020,PM Verification Code
21097,80-89,Robert Spenger,M,Hwt,81,USA,33:55.7,2007,PM Verification Code
21097,80-89,Anne Cresswell,F,Lwt,81,AUS,48:55.1,2020,PM Verification Code
21097,80-89,Hildegard Schmiedl,F,Hwt,82,GER,57:31.8,2020,PM Verification Code
21097,90-99,Vincent Home,M,Hwt,90,AUS,47:21.0,2016,Race result
21097,90-99,Dean Smith,M,Lwt,93,USA,05:59.1,2020,PM Verification Code
21097,95-99,Vince Home,M,Hwt,95,AUS,16:08.4,2021,PM Verification Code
42195,12 and Under,Isaiah Harrison,M,,12,USA,25:10.0,2017,PM Verification Code
42195,12 and Under,Clara Dremiere,F,,12,FRA,41:21.7,2021,PM Verification Code
42195,13-14,Isaiah Harrison,M,,14,USA,46:30.5,2018,PM Verification Code
42195,13-14,Jette Post,F,,14,GER,09:57.4,2020,PM Verification Code
42195,15-16,Isaiah Harrison,M,,16,USA,32:57.0,2021,PM Verification Code
42195,15-16,Caroline Schuckel,F,,16,USA,08:31.0,2020,PM Verification Code
42195,17-18,Niki van Sprang,M,Hwt,18,NED,29:08.4,2012,PM Verification Code
42195,17-18,Drake Deuel,M,Lwt,18,USA,30:24.0,2017,PM Verification Code
42195,17-18,Casey Reed,F,Hwt,18,USA,57:05.5,2019,PM Verification Code
42195,17-18,Brigid Kennedy,F,Lwt,17,USA,00:26.2,2017,PM Verification Code
42195,19-29,Ben de Wit,M,Hwt,26,CAN,21:08.7,2016,PM Verification Code
42195,19-29,Jesper Jensen,M,Lwt,29,DEN,29:31.7,2012,PM Verification Code
42195,19-29,Georgie Rowe,F,Hwt,27,AUS,44:27.1,2020,PM Verification Code
42195,19-29,Sofia Meakin,F,Lwt,22,SUI,50:15.3,2021,PM Verification Code
42195,30-39,Benjamin Reuter,M,Hwt,30,GER,24:28.1,2018,PM Verification Code
42195,30-39,Matthias Auer,M,Lwt,38,GER,29:56.7,2010,2010 Scottish IRC
42195,30-39,Eeva Karppinen,F,Hwt,32,FIN,48:29.6,2020,Witnessed at public club
42195,30-39,Lorraine Walker,F,Lwt,31,USA,50:31.9,2019,PM Verification Code
42195,40-49,Antti Varis,M,Hwt,48,FIN,26:40.1,2006,2006 Kunto Championships
42195,40-49,Keith Darby,M,Lwt,44,GBR,32:56.1,2021,PM Verification Code
42195,40-49,Margit Haahr Hansen,F,Hwt,49,DEN,52:00.5,2016,PM Verification Code
42195,40-49,Anna Hughes Davies,F,Lwt,42,GBR,54:43.8,2021,PM Verification Code
42195,50-59,Antti Varis,M,Hwt,54,FIN,29:47.9,2011,2011 Kerava Ergomarathon
42195,50-59,Greg Trahar,M,Lwt,52,GBR,37:04.8,2010,2010 Dutch ErgoMarathon Championships
42195,50-59,Anna Bailey,F,Hwt,55,GBR,53:16.3,2004,Witnessed at public club
42195,50-59,Justine Reston,F,Lwt,50,GBR,58:28.8,2021,PM Verification Code
42195,60-69,Antti Varis,M,Hwt,61,FIN,32:47.9,2018,Race result
42195,60-69,Keith Hiley,M,Lwt,62,GBR,45:39.4,2021,PM Verification Code
42195,60-69,Carla Stein,F,Hwt,60,USA,05:17.1,2021,PM Verification Code
42195,60-69,Carol Woodward,F,Lwt,60,GBR,10:16.1,2020,PM Verification Code
42195,70-79,Raimund Haberl,M,Lwt,70,AUT,49:07.3,2020,PM Verification Code
42195,70-79,TJ Oesterling,M,Hwt,70,USA,49:22.9,2019,PM Verification Code
42195,70-79,Elizabeth Feldman,F,Lwt,70,AUS,17:13.7,2020,PM Verification Code
42195,70-79,Meeri Vaakanainen,F,Hwt,73,FIN,36:22.2,2021,PM Verification Code
42195,80-89,Peter Daniels,M,Lwt,80,GBR,11:55.8,2020,PM Verification Code
42195,80-89,Roy Francis,M,Hwt,81,GBR,13:58.2,2015,PM Verification Code
42195,90-99,Vince Home,M,Hwt,94,AUS,32:57.9,2020,Witnessed at public club
500,12 and Under,Matthew Phillips,M,,12,USA,01:30.1,2017,PM Verification Code
500,12 and Under,Danielle Kaschula,F,,12,ZIM,01:39.3,2020,PM Verification Code
500,13-14,Isaiah Harrison,M,,14,USA,01:19.1,2018,PM Verification Code
500,13-14,Danielle Kaschula,F,,13,ZIM,01:31.9,2021,Race result
500,15-16,Isaiah Harrison,M,,16,USA,01:15.1,2020,PM Verification Code
500,15-16,Meg Knight,F,,16,GBR,01:30.7,2021,PM Verification Code
500,17-18,Isaiah Harrison,M,Hwt,17,USA,01:13.5,2021,PM Verification Code
500,17-18,Itai Almogy,M,Lwt,18,USA,01:19.5,2021,PM Verification Code
500,17-18,Isabel Bisschops,F,Hwt,17,AUS,01:25.3,2020,PM Verification Code
500,17-18,Christine Cavallo,F,Lwt,17,USA,01:36.7,2013,Race result
500,19-29,Phil Clapp,M,Hwt,29,GBR,01:10.5,2020,PM Verification Code
500,19-29,Igor Khmara,M,Lwt,26,UKR,01:19.8,2017,Race result
500,19-29,Olena Buryak,F,Hwt,29,UKR,01:24.5,2018,PM Verification Code
500,19-29,Sofia Meakin,F,Lwt,22,SUI,01:33.6,2020,PM Verification Code
500,30-39,Loren Howard,M,Hwt,34,USA,01:10.5,2019,PM Verification Code
500,30-39,Leo Young,M,Hwt,30,AUS,01:10.5,1991,Witnessed at public club
500,30-39,Benjamin Smith,M,Lwt,32,AUS,01:17.4,2021,Race result
500,30-39,Olena Buryak,F,Hwt,31,UKR,01:27.9,2019,Race result
500,30-39,Lorraine Walker,F,Lwt,31,USA,01:33.2,2019,PM Verification Code
500,40-49,Maciej Maciejewski,M,Hwt,40,POL,01:13.7,2018,PM Verification Code
500,40-49,Pavel Shurmei,M,Hwt,40,BLR,01:13.7,2017,PM Verification Code
500,40-49,Justin Nickel,M,Lwt,40,USA,01:22.7,2020,PM Verification Code
500,40-49,Ana Caldas,F,Hwt,43,POR,01:24.5,2021,Race result
500,40-49,Claire Corcoran,F,Lwt,42,IRL,01:36.2,2020,Race result
500,50-59,Paul Jeffrey,M,Hwt,54,AUS,01:13.7,2018,PM Verification Code
500,50-59,Jeff Arquette,M,Lwt,56,USA,01:22.3,2018,Video
500,50-59,Anne Bourlioux,F,Hwt,55,CAN,01:34.1,2016,PM Verification Code
500,50-59,Paola Mancini,F,Lwt,51,ITA,01:38.4,2021,Race result
500,60-69,John Grady,M,Hwt,60,USA,01:21.7,2021,PM Verification Code
500,60-69,Steve Roedde,M,Lwt,60,CAN,01:27.5,2014,PM Verification Code
500,60-69,Karyn Marshall,F,Hwt,60,USA,01:38.7,2017,PM Verification Code
500,60-69,Jill Gardner,F,Lwt,63,USA,01:43.9,2012,Sidwell Friends Invitational 2012
500,70-79,James Castellan,M,Hwt,70,USA,01:27.9,2016,PM Verification Code
500,70-79,Jørgen Engelbrecht,M,Lwt,71,DEN,01:32.2,2018,PM Verification Code
500,70-79,Barb McColl,F,Hwt,70,CAN,01:51.0,2021,PM Verification Code
500,70-79,Anne Cresswell,F,Lwt,70,AUS,01:53.7,2009,2008 Pan Pacific Games
500,80-89,Jan Otto Kristiansen,M,Hwt,80,NOR,01:37.3,2021,PM Verification Code
500,80-89,Dean Smith,M,Lwt,81,USA,01:41.1,2008,2008 Mile High Sprints
500,80-89,Anne Cresswell,F,Lwt,80,AUS,02:01.9,2019,Race result
500,80-89,Anne Cresswell,F,Hwt,80,AUS,02:02.7,2019,Race result
500,90-99,Allan Coles,M,Hwt,91,AUS,01:57.1,2019,PM Verification Code
500,90-99,Robert Spenger,M,Lwt,90,USA,02:00.9,2015,PM Verification Code
500,90-99,Mary Elizabeth Norckauer,F,Lwt,90,USA,02:43.6,2015,Witnessed at public club
500,90-99,Alison Worrall,F,Hwt,91,AUS,02:49.1,2015,Race result
500,100+,Grace Monaghan,F,Lwt,103,USA,05:05.1,2018,PM Verification Code
5000,12 and Under,Isaiah Harrison,M,,12,USA,19:00.3,2016,PM Verification Code
