This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 7/7/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
659.58,-19.32,"23,284,450",681.7115,684.00,651.4002

9 JUL 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,-.0005,3.35,6.45,450 / 455,-.01,.30,-.0024,,
,,-.0003,3.30,6.45,455 / 460,-.25,.34,-.0014,,
,,-.0003,3.30,6.50,460 / 465,-.26,.50,-.0022,,
,,.00,3.25,6.45,465 / 470,-.28,.48,-.0021,,
,,-.0002,3.35,6.50,470 / 475,-.20,.53,-.0029,,
,,.0003,3.30,6.40,475 / 480,.01,.45,-.0037,,
,,.0006,3.25,6.40,480 / 485,-.26,.23,-.0011,,
,,.0004,3.25,6.50,485 / 490,-.05,.56,-.0041,,
,,.0007,3.20,6.50,490 / 495,-.15,.35,-.0025,,
,,.0009,3.20,6.50,495 / 500,-.05,.35,-.0032,,
,,.0011,3.20,6.50,500 / 505,.05,.35,-.0038,,
,,.0015,3.20,6.45,505 / 510,-.25,.30,-.0020,,
,,.0013,3.30,6.45,510 / 515,-.20,.55,-.0038,,
,,.0020,3.25,6.40,515 / 520,-.05,.50,-.0045,,
,,.0026,3.15,6.40,520 / 525,-.20,.50,-.0038,,
,,.0021,3.25,6.50,525 / 530,-.20,.65,-.0048,,
,,.0028,3.25,6.40,530 / 535,-.20,.55,-.0045,,
,,.0035,3.20,6.35,535 / 540,-.25,.50,-.0041,,
,,.0032,3.25,6.45,540 / 545,-.10,.45,-.0049,,
,,.0040,3.20,6.40,545 / 550,.05,.40,-.0057,,
,,.0043,3.20,6.40,550 / 555,.05,.55,-.0068,,
,,.0050,3.15,6.40,555 / 560,-.20,.60,-.0060,,
,,.0054,3.15,6.40,560 / 565,-.20,.60,-.0063,,
,,.0053,3.25,6.40,565 / 570,-.15,.45,-.0061,,
,,.0053,3.45,6.30,570 / 575,.05,.50,-.0079,,
,,.0074,3.45,6.00,575 / 580,0,.55,-.0083,,
,,.0083,3.45,5.95,580 / 585,0,.50,-.0086,,
,,.0092,3.45,5.90,585 / 590,.10,.55,-.0100,,
,,.0102,3.45,5.85,590 / 595,.10,.60,-.0109,,
,,.0118,3.40,5.75,595 / 600,.15,.65,-.0122,,
,,.0130,3.40,5.70,600 / 605,.20,1.00,-.0151,,
,,.0167,2.95,5.60,605 / 610,-.05,1.00,-.0147,,
,,.0147,3.30,5.90,610 / 615,.10,.95,-.0162,,
,,.0186,3.20,5.45,615 / 620,.35,1.05,-.0191,,
