This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 9/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
752.92,+19.35,"20,039,825",740.00,760.20,739.26

10 SEP 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0068,3.75,5.95,670 / 675,.05,.25,-.0068,,
,,.0048,4.10,5.90,675 / 680,.05,.30,-.0077,,
,,.0129,3.70,5.40,680 / 685,.05,.35,-.0087,,
,,.0069,4.00,5.90,685 / 690,.10,.40,-.0102,,
,,.0131,3.65,5.60,690 / 695,.10,.45,-.0114,,
,,.0128,3.65,5.75,695 / 700,.10,.50,-.0128,,
,,.0151,3.60,5.65,700 / 705,.15,.55,-.0147,,
,,.0175,3.55,5.55,705 / 710,.25,.65,-.0175,,
,,.0186,3.80,5.35,710 / 715,.30,.70,-.0198,,
,,.0237,3.80,4.90,715 / 720,.40,.75,-.0226,,
,,.0270,3.70,4.80,720 / 725,.65,.95,-.0276,,
,,.0329,3.25,4.60,725 / 730,.75,1.30,-.0323,,
,,.0342,3.40,4.65,730 / 735,.65,1.35,-.0345,,
,,.0403,3.20,4.10,735 / 740,1.05,1.65,-.0403,,
,,.0445,2.95,3.80,740 / 745,1.30,1.90,-.0445,,
,,.0480,2.85,3.40,745 / 750,1.70,2.20,-.0482,,
,,.0505,2.60,2.85,750 / 755,1.95,2.45,-.0505,,
,,.0514,2.35,2.50,755 / 760,2.20,2.90,-.0516,,
,,.0510,1.95,2.30,760 / 765,2.45,3.30,-.0512,,
,,.0490,1.50,2.10,765 / 770,2.75,3.70,-.0489,,
,,.0453,1.20,1.75,770 / 775,2.80,4.00,-.0474,,
,,.0426,1.05,1.55,775 / 780,3.05,4.45,-.0422,,
,,.0374,.80,1.25,780 / 785,3.30,4.75,-.0365,,
,,.0324,.60,1.05,785 / 790,3.40,4.90,-.0333,,
,,.0277,.45,.87,790 / 795,3.60,5.10,-.0276,,
,,.0217,.29,.65,795 / 800,3.70,5.20,-.0243,,
,,.0220,.36,.64,800 / 805,3.80,5.40,-.0191,,
,,.0163,.23,.44,805 / 810,3.85,5.45,-.0169,,
,,.0138,.18,.37,810 / 815,3.95,5.50,-.0139,,
