This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 5/4/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
684.90,-24.54,"27,043,143",703.80,706.00,680.50

7 MAY 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0006,-.08,.11,950 / 960,1.25,18.70,-.0010,,
,,.0015,-.01,.10,960 / 970,1.25,18.75,.00,,
,,.0003,-.02,.03,970 / 980,1.25,18.75,.00,,
,,.0001,-.04,.04,980 / 990,1.25,18.75,.00,,
,,.0005,-.02,.05,990 / 1000,1.20,18.75,-.0011,,
,,.0006,-.05,.08,1000 / 1025,16.20,33.75,.00,,
,,-.0008,-.22,.15,1025 / 1050,16.25,33.75,.00,,
,,.0011,-.14,.21,1050 / 1075,16.25,33.75,.00,,
,,.0008,-.08,.13,1075 / 1100,16.25,33.75,.00,,
,,.0003,-.11,.13,1100 / 1125,16.25,33.75,.00,,
,,-.0018,-.24,.08,1125 / 1150,16.25,33.75,.00,,
,,.0007,-.19,.24,1150 / 1175,16.25,33.75,.00,,
,,.0002,-.20,.21,1175 / 1200,16.25,33.75,.00,,
,,.0021,-.02,.19,1200 / 1225,16.25,33.75,.00,,
,,-.0020,-.22,.04,1225 / 1250,16.25,33.75,.00,,
,,.0001,-.22,.22,1250 / 1275,16.25,33.75,.00,,
,,.0001,-.21,.21,1275 / 1300,16.25,33.75,.00,,
,,-.0001,-.21,.19,1300 / 1325,16.25,33.75,.00,,
,,.0002,-.19,.21,1325 / 1350,16.25,33.75,.00,,
,,.0019,-.03,.21,1350 / 1375,16.25,33.75,.00,,
,,-.0005,-.09,.04,1375 / 1400,16.25,33.75,.00,,
,,-.0010,-.21,.10,1400 / 1425,16.25,33.75,.00,,
,,.0005,-.15,.20,1425 / 1450,16.25,33.75,.00,,
,,.0012,-.03,.15,1450 / 1475,16.25,33.75,.00,,
,,.00,-.03,.03,1475 / 1500,16.25,33.75,.00,,
,,.0001,-.01,.02,1500 / 1525,16.25,33.75,.00,,

21 MAY 21  (18)  100
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,21.50,38.50,20 / 50,-.01,.01,.00,,
,,.00,41.50,58.50,50 / 100,0,.02,-.0001,,
,,.00,41.50,58.50,100 / 150,-.01,.01,.00,,
,,.00,41.50,58.50,150 / 200,0,.04,-.0003,,
,,.00,41.45,58.50,200 / 250,-.02,.03,-.0002,,
,,.00,41.40,58.50,250 / 300,.03,.09,-.0010,,
