This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 4/6/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
691.05,+29.30,"41,842,767",707.71,708.16,684.70

9 APR 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,-.0133,44.55,54.95,350 / 400,.19,.44,-.0052,,
,,-.0025,4.75,15.10,400 / 410,-.08,.23,-.0014,,
,,-.0023,4.75,15.05,410 / 420,-.29,.27,-.0004,,
,,-.0023,4.80,15.05,420 / 430,-.27,.45,-.0017,,
,,-.0022,4.80,15.05,430 / 440,-.30,.46,-.0016,,
,,-.0009,5.90,13.00,440 / 450,-.05,.45,-.0032,,
,,-.0018,7.90,11.85,450 / 460,-.24,.29,-.0012,,
,,-.0013,7.85,11.70,460 / 470,-.08,.51,-.0037,,
,,-.0016,8.00,11.85,470 / 480,.01,.33,-.0033,,
,,-.0009,7.80,11.80,480 / 490,.05,.36,-.0039,,
,,-.0009,7.80,11.90,490 / 500,.08,.37,-.0044,,
,,.0013,7.55,11.50,500 / 510,.13,.52,-.0058,,
,,.0008,7.80,11.65,510 / 520,.10,.60,-.0064,,
,,.0023,7.60,11.60,520 / 530,.16,.67,-.0075,,
,,.0040,7.55,11.45,530 / 540,.20,.81,-.0090,,
,,.0058,7.50,11.30,540 / 550,.30,.90,-.0105,,
,,.0040,2.75,6.50,550 / 555,.10,.70,-.0065,,
,,.0037,2.80,6.60,555 / 560,.05,.75,-.0066,,
,,.0061,2.55,6.35,560 / 565,-.15,.80,-.0060,,
,,.0050,2.75,6.50,565 / 570,.05,1.10,-.0086,,
,,.0068,2.55,6.35,570 / 575,-.05,1.00,-.0078,,
,,.0082,2.45,6.20,575 / 580,-.05,1.20,-.0089,,
,,.0083,2.50,6.20,580 / 585,.20,1.30,-.0106,,
,,.0085,2.50,6.25,585 / 590,.05,1.15,-.0094,,
,,.0105,2.30,6.00,590 / 595,.05,1.45,-.0108,,
,,.0099,2.45,6.10,595 / 600,.25,1.60,-.0124,,
,,.0115,2.25,5.95,600 / 605,.10,1.55,-.0117,,
,,.0121,2.20,5.90,605 / 610,.10,1.85,-.0130,,
,,.0135,2.10,5.65,610 / 615,.35,1.95,-.0143,,
,,.0137,2.20,5.55,615 / 620,.25,1.90,-.0139,,
,,.0073,.20,3.55,620 / 622.5,-.35,1.55,-.0074,,
,,.0068,.25,3.70,622.5 / 625,-.35,1.60,-.0076,,
,,.0076,.10,3.60,625 / 627.5,-.35,1.65,-.0078,,
,,.0073,.20,3.60,627.5 / 630,-.35,1.70,-.0079,,
,,.0083,.10,3.35,630 / 632.5,-.35,1.75,-.0081,,
,,.0082,.10,3.40,632.5 / 635,-.35,1.80,-.0082,,
,,.0079,.10,3.55,635 / 637.5,-.40,1.85,-.0082,,
,,.0083,0,3.50,637.5 / 640,-.40,1.90,-.0084,,
,,.0083,0,3.50,640 / 642.5,-.35,1.95,-.0086,,
,,.0086,.05,3.35,642.5 / 645,-.35,1.95,-.0086,,
